player_id,player_name,season_n,season_n1,clutch_ts_n,clutch_ts_n1
101150,Lou Williams,2019-20,2020-21,0.6170531039640987,0.6127450980392157
200746,LaMarcus Aldridge,2017-18,2018-19,0.5613362541073385,0.6204756980351603
200746,LaMarcus Aldridge,2018-19,2019-20,0.6204756980351603,0.5591630591630592
200746,LaMarcus Aldridge,2019-20,2020-21,0.5591630591630592,0.5933544303797468
200746,LaMarcus Aldridge,2020-21,2021-22,0.5933544303797468,0.5637636080870918
200752,Rudy Gay,2017-18,2018-19,0.5360623781676414,0.6578947368421053
200752,Rudy Gay,2018-19,2019-20,0.6578947368421053,0.7301808066759388
200752,Rudy Gay,2019-20,2020-21,0.7301808066759388,0.47468354430379744
200755,JJ Redick,2017-18,2018-19,0.6132075471698113,0.5710262828535669
200755,JJ Redick,2018-19,2019-20,0.5710262828535669,0.5674448767833982
200765,Rajon Rondo,2017-18,2018-19,0.6977671451355663,0.6666666666666666
200765,Rajon Rondo,2018-19,2019-20,0.6666666666666666,0.16666666666666666
200768,Kyle Lowry,2017-18,2018-19,0.5747126436781609,0.43754289636238847
200768,Kyle Lowry,2018-19,2019-20,0.43754289636238847,0.6722951844903065
200768,Kyle Lowry,2019-20,2020-21,0.6722951844903065,0.592173017507724
200768,Kyle Lowry,2020-21,2021-22,0.592173017507724,0.6061299176578225
200768,Kyle Lowry,2021-22,2022-23,0.6061299176578225,0.580110497237569
200768,Kyle Lowry,2022-23,2023-24,0.580110497237569,0.5272407732864675
200782,P.J. Tucker,2017-18,2018-19,0.5287648054145516,0.4458794587945879
200782,P.J. Tucker,2018-19,2019-20,0.4458794587945879,0.5511811023622047
200782,P.J. Tucker,2019-20,2020-21,0.5511811023622047,0.7261410788381742
200782,P.J. Tucker,2020-21,2021-22,0.7261410788381742,0.708955223880597
200782,P.J. Tucker,2021-22,2022-23,0.708955223880597,0.7589285714285715
200794,Paul Millsap,2017-18,2018-19,0.7217444717444716,0.5597014925373134
200794,Paul Millsap,2018-19,2019-20,0.5597014925373134,0.5821078431372549
201142,Kevin Durant,2017-18,2018-19,0.7248711340206185,0.576761744966443
201142,Kevin Durant,2020-21,2021-22,0.6859131859131858,0.5355738993710691
201142,Kevin Durant,2021-22,2022-23,0.5355738993710691,0.6124497991967872
201142,Kevin Durant,2022-23,2023-24,0.6124497991967872,0.5002021018593371
201142,Kevin Durant,2023-24,2024-25,0.5002021018593371,0.6322711178553364
201143,Al Horford,2017-18,2018-19,0.6433823529411765,0.8003048780487805
201143,Al Horford,2018-19,2019-20,0.8003048780487805,0.5538922155688623
201143,Al Horford,2019-20,2020-21,0.5538922155688623,0.4369300911854103
201143,Al Horford,2020-21,2021-22,0.4369300911854103,0.46875
201143,Al Horford,2021-22,2022-23,0.46875,0.48
201143,Al Horford,2022-23,2023-24,0.48,0.6027918781725888
201143,Al Horford,2023-24,2024-25,0.6027918781725888,0.611545988258317
