player_id,player_name,n_pairs,r,p
203084,Harrison Barnes,7,-0.2277531915848528,0.6233036119922669
203085,Austin Rivers,3,-0.9531248404749402,0.19569410308780139
203090,Maurice Harkless,3,-0.7958127055876826,0.4140879416017885
203095,Evan Fournier,4,-0.5677823819676278,0.43221761803237224
203107,Tomas Satoransky,3,-0.48371655609104713,0.6785731241026443
203109,Jae Crowder,4,-0.40310010634508975,0.5968998936549101
203110,Draymond Green,7,-0.07322366722006643,0.8760246259221556
203114,Khris Middleton,7,-0.5040172192940533,0.24875820336036947
203115,Will Barton,4,-0.9876051363077917,0.012394863692208435
203145,Kent Bazemore,3,-0.7409296454940943,0.46877036196935373
203200,Justin Holiday,5,-0.5007623449074028,0.3901618271595733
203458,Alex Len,3,0.26220493194302474,0.8311007186608957
203468,CJ McCollum,7,0.09848913317957733,0.8336094040788874
203471,Dennis Schröder,7,-0.05761509705960856,0.9023518333610746
203482,Kelly Olynyk,6,-0.426455883329978,0.39909479368031375
203484,Kentavious Caldwell-Pope,7,-0.15885511952480372,0.7337089452131155
203486,Mason Plumlee,5,-0.8053242566603571,0.10004481808199399
203493,Reggie Bullock Jr.,3,-0.664693139432169,0.5371245756218815
203496,Robert Covington,4,-0.5555618490104042,0.4444381509895958
203497,Rudy Gobert,7,0.1027118734144232,0.8265492240633886
203500,Steven Adams,5,0.13711708487851332,0.825965716786952
203501,Tim Hardaway Jr.,7,0.006298847165737788,0.9893069570651808
203506,Victor Oladipo,3,-0.20603125821221335,0.8678902824324605
203507,Giannis Antetokounmpo,7,-0.25398318690594435,0.582596140984112
203516,James Ennis III,3,-0.2158249528002718,0.8615118893096343
203552,Seth Curry,4,-0.170398495345363,0.829601504654637
203897,Zach LaVine,6,0.012698942480646385,0.9809526102147009
203901,Elfrid Payton,3,0.4429350787893116,0.7078744310668879
203903,Jordan Clarkson,6,-0.5660129186763915,0.2416475779903463
203914,Gary Harris,6,0.0023850293621039964,0.9964224627403029
203915,Spencer Dinwiddie,5,-0.20879725712576735,0.7360955797484825
203924,Jerami Grant,7,-0.047670785642358625,0.9191634845279801
203925,Joe Harris,3,-0.5120370009636548,0.6577821238147743
203926,Doug McDermott,3,-0.2917696783577558,0.8115118463732203
203932,Aaron Gordon,7,-0.27034159398554924,0.5576393090593543
203935,Marcus Smart,5,-0.48161395006926033,0.41139797781772464
203937,Kyle Anderson,7,-0.7864420111869697,0.035946686463873334
203939,Dwight Powell,3,-0.8359819367536842,0.36979752197409965
203944,Julius Randle,7,0.4212607786380073,0.3465745625867491
203952,Andrew Wiggins,7,-0.5517491749420175,0.19912614320095853
203954,Joel Embiid,6,-0.2872742827223357,0.5809424484040983
203967,Dario Šarić,3,-0.9144997988148235,0.2651689840379558
203991,Clint Capela,7,0.0006900030843612348,0.99882861466152
203992,Bogdan Bogdanović,7,-0.07354998480542882,0.8754751212049782
203994,Jusuf Nurkić,5,-0.34136618732952306,0.5739546540592927
203999,Nikola Jokić,7,0.7254409436841267,0.06501034589557869
204001,Kristaps Porziņģis,5,0.37067054917365744,0.5390895044198912
204060,Joe Ingles,6,-0.15451550739219005,0.7700712710279405
204456,T.J. McConnell,5,-0.09376813801117816,0.8807858844674695
1626145,Tyus Jones,5,-0.013432435266032897,0.9828978065589438
1626149,Montrezl Harrell,3,-0.523144625836225,0.6495175094104857
1626153,Delon Wright,5,0.01911001218641259,0.9756698578196767
1626156,D'Angelo Russell,7,-0.2561210696660718,0.5793150825440467
1626157,Karl-Anthony Towns,7,-0.02638051867597123,0.9552306225592169
1626158,Richaun Holmes,3,-0.19181651375483116,0.8771243013465273
1626161,Willie Cauley-Stein,3,-0.2232266571836028,0.8566819876624746
1626162,Kelly Oubre Jr.,7,0.7212999495013777,0.06732437859346695
1626164,Devin Booker,7,-0.7573253202919777,0.048650446534413985
1626167,Myles Turner,7,-0.006801824607459567,0.9884531310224605
1626168,Trey Lyles,3,0.38827858882864896,0.746139661130503
1626171,Bobby Portis,5,-0.299618183275998,0.6243014459185231
1626172,Kevon Looney,5,0.6859702696663745,0.20099852626141246
